Plot,longitude,latitude
SR 1A,144.6763535,-38.20253544
SR 2A,144.6764101,-38.20254235
SR 1B,144.6764104,-38.20254251
SR 2A,144.6765567,-38.20256643
SR 2B,144.6766112,-38.2025682
SR 3A,144.6764896,-38.20236649
SR 3B,144.6765468,-38.20237581
SR 4A,144.6767261,-38.20243858
SR 4B,144.6767828,-38.20245746
SR 5A,144.6766396,-38.20221856
SR 5B,144.6766985,-38.20223361
SR 6A,144.6769394,-38.20232399
SR 6B,144.6769812,-38.20234761
SR 7A,144.6767934,-38.20207547
SR 7B,144.6768458,-38.20208358
SR 9A,144.6769574,-38.20192614
SR 9B,144.6770089,-38.20194639
SR 8A,144.6771279,-38.20220248
SR 8B,144.6771708,-38.20222679
SR 10A,144.6773219,-38.20208778
SR 10B,144.6773499,-38.20211734
SR 11A,144.6775068,-38.2019754
SR 11B,144.6775438,-38.20200514
SR 12A,144.6776735,-38.20187929
SR 12B,144.6777052,-38.20190691
SR 13A,144.677833,-38.20176203
SR 13B,144.6778621,-38.20178551
PVD 1A,144.6767857,-38.20261446
PVS 1B,144.6768373,-38.20263346
PVS 2A,144.6769661,-38.20267899
PVS 2B,144.6770049,-38.20269767
PVS 3A,144.6769187,-38.20251994
PVS 3B,144.6769652,-38.20253822
PVS 4A,144.677118,-38.20259709
PVS 4B,144.6771656,-38.20261656
PVS 5A,144.6770664,-38.20242869
PVS 5B,144.6770999,-38.20245454
PVS 6A,144.6772658,-38.2025275
PVS 6B,144.6772987,-38.20255961
PVS 7A,144.6772052,-38.20235111
PVS 7B,144.6772467,-38.20237876
PVS 8A,144.6774463,-38.20243885
PVS 8B,144.6774748,-38.20246791
PVS 9A,144.6773506,-38.20227272
PVS 9B,144.6773899,-38.20230543
PVS 10A,144.6775991,-38.20233043
PVS 10B,144.6776213,-38.20236967
PVS 11A,144.6775193,-38.20218995
PVS 11B,144.6775495,-38.20222174
PVS 12A,144.6777421,-38.20224163
PVS 12B,144.6777622,-38.2022737
PVS 13A,144.677668,-38.20210739
PVS 13B,144.6777123,-38.20213821
PVS 14A,144.6778867,-38.20214752
PVS 14B,144.677913,-38.20218786
PVS 15A,144.677779,-38.20202921
PVS 15B,144.6778223,-38.20206173
PVS 17A,144.6779144,-38.20192702
PVS 17B,144.6779476,-38.2019524
PVS 19A,144.6780558,-38.20183074
PVS 19B,144.6780947,-38.20185098
PVS 16A,144.6780728,-38.20213963
PVS 16B,144.6780818,-38.20217738
PVS 18A,144.6782204,-38.20211655
PVS 18B,144.6782196,-38.2021595
PVS 20A,144.6784341,-38.20211485
PVS 20B,144.6784383,-38.20215193
DP 1A,144.6203962,-38.25124137
DP 1B,144.6204436,-38.25126913
DP 2A,144.6205075,-38.25132738
DP 2B,144.6205594,-38.25134973
DP 3A,144.6202461,-38.25136364
DP 3B,144.6202707,-38.25138933
DP 4A,144.6203202,-38.25145342
DP 4B,144.6203499,-38.25148254
DP 5A,144.6201011,-38.25144215
DP 5B,144.6201242,-38.25148136
DP 6A,144.6201599,-38.25155352
DP 6B,144.6201951,-38.25158695
DP 7A,144.619699,-38.25143689
DP 7B,144.6197419,-38.25146758
DP 8A,144.619974,-38.2517206
DP 8B,144.6200109,-38.25175701
DP 9A,144.6195034,-38.25159986
DP 9B,144.6195513,-38.251628
DP 10A,144.6197955,-38.25185644
DP 10B,144.6198328,-38.25187674
DP 11A,144.6194042,-38.25175599
DP 11B,144.6194509,-38.25177878
DP 12A,144.6196415,-38.25196541
DP 12B,144.6196799,-38.25199075
DP 13A,144.6192472,-38.25202501
DP 13B,144.619287,-38.25203475
DP 14A,144.6194903,-38.25209902
DP 14B,144.619533,-38.25211861
DP 15A,144.6192209,-38.25212706
DP 15B,144.6192637,-38.2521446
DP 16A,144.6193409,-38.25221775
DP 16B,144.6193881,-38.25223546
DP 17A,144.6190972,-38.25229845
DP 17B,144.6191545,-38.25231936
DP 18A,144.6191894,-38.25236968
DP 18B,144.6192502,-38.25238816
DP 19A,144.6190168,-38.25248417
DP 19B,144.6191077,-38.25250298
DP 20A,144.6191553,-38.25254472
DP 20B,144.6192136,-38.25254849
DP 21A,144.6189247,-38.25266874
DP 21B,144.6189852,-38.25267866
DP 23A,144.6188301,-38.25278661
DP 23B,144.6188834,-38.25280487
DP 25A,144.6187809,-38.25304364
DP 25B,144.6188257,-38.25305753
DP 27A,144.6186377,-38.25327264
DP 27B,144.6186886,-38.25329117
DP 29A,144.6185795,-38.2535091
DP 29B,144.6186428,-38.25351395
DP 31A,144.6184868,-38.25382318
DP 31B,144.6185553,-38.25383163
DP 33A,144.6185328,-38.25405908
DP 33B,144.6185902,-38.25405942
DP 35A,144.6184631,-38.25425526
DP 35B,144.6185194,-38.25426473
DP 37A,144.6184062,-38.254466
DP 37B,144.6184686,-38.25447554
DP 39A,144.6183267,-38.25463721
DP 39B,144.618391,-38.2546595
DP 40 A,144.6194326,-38.25432202
DP 40B,144.6194891,-38.25432649
DP 38A,144.6194146,-38.25415302
DP 38B,144.6194648,-38.25416007
DP 36A,144.6194084,-38.25398122
DP 36B,144.6194632,-38.25398327
DP 34A,144.6193938,-38.25380098
DP 34B,144.6194561,-38.25380491
DP 32A,144.6193301,-38.25361581
DP 32B,144.6193905,-38.25361955
DP 30A,144.6193053,-38.25345146
DP 30B,144.6193602,-38.25346362
DP 28A,144.619299,-38.25327442
DP 28B,144.6193606,-38.25328138
DP 26A,144.6192613,-38.25309653
DP 26B,144.619317,-38.25310345
DP 24A,144.6192562,-38.25290712
DP 24B,144.6193073,-38.25291401
DP 22A,144.6191938,-38.25272875
DP 22B,144.6192455,-38.25273003
DM 1A,144.6501879,-38.22742871
DM 1B,144.6502474,-38.22744375
DM 2A,144.6504589,-38.22755463
DM 2B,144.6505046,-38.22757522
DM 3A,144.6500627,-38.22759769
