system:index,plot_id,lng,lat,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,QA10,QA20,QA60,.geo
0,SR 1A,144.6763535,-38.20253544,3223.94989,1029.474614,2342.065342,1844.766667,3127.228035,2659.907947,2441.477483,2489.835099,2755.866004,2819.01479,2986.198234,2855.715453,1650.764018,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6501879,-38.227293727010725],[144.65013990563878,-38.22729909932392],[144.65009573160884,-38.227314788629684],[144.65005889414928,-38.22733954606534],[144.65003232551865,-38.227371400947064],[144.6500181405883,-38.22740781763373],[144.65001746849572,-38.227445897361626],[144.65003036276028,-38.22748260898464],[144.65005579701628,-38.22751503025341],[144.65009174670615,-38.22754058042767],[144.65013535023263,-38.22755722570547],[144.65018313674219,-38.22756364111628],[144.65023130240914,-38.227559315990725],[144.65027601322618,-38.22754459461063],[144.65031371019776,-38.22752064880363],[144.65034139264066,-38.22748938466394],[144.65035685703958,-38.22745329082467],[144.6503588724449,-38.22741524036039],[144.65034727845097,-38.22737826208869],[144.65032299795803,-38.22734529947624],[144.65028796370362,-38.22731897633994],[144.6502449644135,-38.227301387993315],[144.6501974228193,-38.227293934462075],[144.6501879,-38.227293727010725]]]}"
1,SR 2A,144.6764101,-38.20254235,3195.955629,1029.294702,2333.200662,1835.465784,3125.835541,2648.784989,2430.698896,2483.649007,2740.553642,2800.846358,2971.61457,2826.354084,1636.335099,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6502474,-38.227308767010726],[144.65019940562888,-38.22731413932394],[144.6501552315898,-38.22732982862968],[144.65011839412261,-38.22735458606533],[144.65009182548653,-38.227386440947065],[144.65007764055318,-38.22742285763373],[144.6500769684605,-38.22746093736163],[144.65008986272773,-38.22749764898463],[144.65011529698896,-38.227530070253394],[144.6501512466863,-38.22755562042766],[144.6501948502218,-38.22757226570546],[144.65024263674124,-38.227578681116285],[144.6502908024181,-38.22757435599072],[144.6503355132444,-38.22755963461062],[144.65037321022382,-38.227535688803634],[144.65040089267242,-38.22750442466394],[144.65041635707453,-38.227468330824685],[144.65041837248026,-38.22743028036039],[144.65040677848393,-38.227393302088686],[144.65038249798596,-38.227360339476235],[144.65034746372433,-38.22733401633993],[144.65030446442532,-38.22731642799331],[144.6502569228213,-38.227308974462076],[144.6502474,-38.227308767010726]]]}"
2,SR 1B,144.6764104,-38.20254251,3013.812057,1028.124113,2229.930186,1769.556294,3007.130984,2542.798537,2319.256427,2381.804743,2602.227172,2664.899823,2823.337988,2674.585106,1542.453901,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6504589,-38.22741964701072],[144.6504109055557,-38.22742501932393],[144.65036673144928,-38.22744070862967],[144.65032989392594,-38.22746546606533],[144.65030332524933,-38.22749732094706],[144.6502891402944,-38.22753373763373],[144.65028846820067,-38.22757181736162],[144.65030136248757,-38.22760852898463],[144.65032679678754,-38.2276409502534],[144.6503627465397,-38.22766650042767],[144.65040635014168,-38.227683145705456],[144.65045413673394,-38.22768956111628],[144.65050230248428,-38.22768523599073],[144.65054701337868,-38.22767051461062],[144.65058471041556,-38.22764656880363],[144.65061239290637,-38.227615304663935],[144.65062785733207,-38.22757921082467],[144.65062987274086,-38.22754116036038],[144.65061827872688,-38.22750418208869],[144.65059399819188,-38.22747121947623],[144.65055896387685,-38.22744489633993],[144.6505159645123,-38.22742730799331],[144.6504684228358,-38.22741985446208],[144.6504589,-38.22741964701072]]]}"
3,SR 2A,144.6765567,-38.20256643,2996.562749,1028.013257,2206.003977,1760.361467,2975.081087,2521.393946,2300.133009,2357.861025,2572.914494,2639.720062,2787.805789,2651.709898,1533.56319,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6505046,-38.22744023701072],[144.65045660554213,-38.227445609323915],[144.6504124314232,-38.22746129862966],[144.65037559388944,-38.22748605606533],[144.65034902520532,-38.22751791094706],[144.65033484024636,-38.22755432763372],[144.65033416815245,-38.22759240736162],[144.65034706244296,-38.22762911898463],[144.65037249675018,-38.22766154025339],[144.6504084465125,-38.227687090427665],[144.65045205012683,-38.22770373570545],[144.65049983673262,-38.22771015111628],[144.65054800249655,-38.227705825990725],[144.65059271340365,-38.22769110461062],[144.65063041045119,-38.22766715880363],[144.65065809294984,-38.227635894663926],[144.65067355737992,-38.22759980082467],[144.65067557278928,-38.22756175036038],[144.650663978772,-38.22752477208868],[144.65063969823015,-38.227491809476234],[144.65060466390517,-38.22746548633993],[144.65056166452848,-38.2274478979933],[144.6505141228385,-38.22744044446207],[144.6505046,-38.22744023701072]]]}"
4,SR 2B,144.6766112,-38.2025682,2978.266681,1027.347768,2136.561202,1694.514361,2915.009501,2440.597879,2193.183385,2252.366107,2513.1308,2589.952055,2746.458241,2621.944101,1531.630358,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6500627,-38.22746270701073],[144.6500147055273,-38.22746807932394],[144.64997053139473,-38.22748376862968],[144.6499336938496,-38.227508526065336],[144.64990712515726,-38.22754038094706],[144.64989294019392,-38.22757679763374],[144.64989226809982,-38.22761487736164],[144.6499051623943,-38.22765158898464],[144.64993059670937,-38.227684010253405],[144.6499665464828,-38.22770956042767],[144.65001015011057,-38.227726205705466],[144.65005793673114,-38.227732621116296],[144.65010610250997,-38.22772829599073],[144.65015081343088,-38.227713574610625],[144.65018851049007,-38.22768962880364],[144.65021619299728,-38.22765836466394],[144.6502316574321,-38.22762227082468],[144.65023367284212,-38.22758422036039],[144.65022207882123,-38.2275472420887],[144.65019779827188,-38.227514279476246],[144.6501627639361,-38.22748795633994],[144.65011976454608,-38.22747036799332],[144.65007222284143,-38.22746291446208],[144.6500627,-38.22746270701073]]]}"
5,SR 3A,144.6764896,-38.20236649,2992.384936,1027.91502,2126.871981,1690.414581,2899.318621,2428.35661,2187.355731,2247.173693,2498.709486,2573.078832,2721.963109,2601.78217,1532.386693,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6501141,-38.22747975701073],[144.65006610551603,-38.22748512932394],[144.65002193137312,-38.227500818629686],[144.64998509381934,-38.22752557606533],[144.64995852512078,-38.227557430947066],[144.6499443401541,-38.22759384763373],[144.64994366805985,-38.22763192736162],[144.64995656235737,-38.22766863898463],[144.6499819966784,-38.22770106025341],[144.65001794646025,-38.22772661042767],[144.65006155009826,-38.22774325570546],[144.65010933673003,-38.22774967111628],[144.65015750252013,-38.227745345990726],[144.65020221345154,-38.22773062461062],[144.65023991051953,-38.22770667880363],[144.65026759303322,-38.22767541466394],[144.6502830574717,-38.227639320824686],[144.65028507288218,-38.22760127036039],[144.6502734788586,-38.227564292088694],[144.65024919830353,-38.22753132947624],[144.65021416395953,-38.22750500633993],[144.65017116455945,-38.22748741799331],[144.65012362284367,-38.227479964462084],[144.6501141,-38.22747975701073]]]}"
6,SR 3B,144.6765468,-38.20237581,2994.5,1028,2084.811175,1668.825751,2812.664973,2362.384055,2133.717314,2206.666519,2444.626546,2514.38273,2611.598719,2541.319346,1532.5,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.65032,-38.22757818701073],[144.6502720054511,-38.22758355932393],[144.6502278312484,-38.22759924862967],[144.65019099364477,-38.22762400606534],[144.65016442491026,-38.22765586094706],[144.6501502399244,-38.22769227763373],[144.65014956782923,-38.22773035736164],[144.6501624621442,-38.22776706898464],[144.65018789649963,-38.22779949025341],[144.65022384633014,-38.22782504042767],[144.65026745002714,-38.227841685705464],[144.65031523672357,-38.22784810111629],[144.65036340257888,-38.227843775990735],[144.65040811357076,-38.22782905461062],[144.6504458106898,-38.22780510880363],[144.65047349324095,-38.227773844663936],[144.65048895770036,-38.22773775082469],[144.65049097311353,-38.22769970036039],[144.65047937907426,-38.227662722088695],[144.65045509848636,-38.227629759476244],[144.65042006409493,-38.22760343633994],[144.65037706463667,-38.22758584799331],[144.65032952285657,-38.227578394462085],[144.65032,-38.22757818701073]]]}"
7,SR 4A,144.6767261,-38.20243858,2994.5,1028,2071.970097,1668.276165,2794.324978,2351.601143,2125.943931,2197.508355,2427.371152,2501.335092,2589.355981,2533.297713,1532.5,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.650365,-38.227606157010726],[144.65031700543264,-38.22761152932393],[144.65027283121296,-38.22762721862968],[144.65023599359515,-38.22765197606533],[144.65020942485046,-38.22768383094706],[144.6501952398591,-38.22772024763373],[144.6501945677637,-38.227758327361634],[144.6502074620836,-38.22779503898464],[144.65023289644884,-38.22782746025341],[144.65026884629316,-38.227853010427665],[144.65031245000694,-38.22786965570546],[144.65036023672175,-38.227876071116285],[144.65040840259556,-38.227871745990726],[144.65045311360464,-38.22785702461062],[144.65049081073815,-38.227833078803634],[144.65051849329996,-38.22780181466394],[144.65053395776533,-38.22776572082467],[144.6505359731793,-38.22772767036039],[144.65052437913556,-38.22769069208869],[144.6505000985383,-38.22765772947624],[144.65046506413344,-38.22763140633994],[144.65042206465864,-38.227613817993316],[144.65037452286023,-38.227606364462076],[144.650365,-38.227606157010726]]]}"
8,SR 4B,144.6767828,-38.20245746,2920.309859,1025.019146,2000.206646,1595.760783,2699.560299,2232.725132,1982.700484,2074.740757,2353.796655,2447.37412,2529.401849,2465.505942,1528.525528,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.649917,-38.227629487010724],[144.64986900541723,-38.22763485932393],[144.64982483118337,-38.227650548629676],[144.64978799355376,-38.22767530606533],[144.64976142480052,-38.22770716094706],[144.64974723980464,-38.227743577633724],[144.64974656770897,-38.22778165736162],[144.64975946203307,-38.22781836898464],[144.64978489640643,-38.227850790253406],[144.64982084626232,-38.22787634042766],[144.64986444999008,-38.22789298570546],[144.6499122367202,-38.22789940111628],[144.64996040260948,-38.22789507599072],[144.6500051136329,-38.227880354610626],[144.6500428107785,-38.227856408803625],[144.65007049334918,-38.22782514466393],[144.6500859578195,-38.227789050824676],[144.6500879732341,-38.227751000360385],[144.65007637918666,-38.22771402208868],[144.6500520985816,-38.22768105947624],[144.6500170641655,-38.22765473633994],[144.6499740646769,-38.227637147993306],[144.64992652286327,-38.227629694462074],[144.649917,-38.227629487010724]]]}"
9,SR 5A,144.6766396,-38.20221856,2940.797309,1025.842303,1993.562638,1597.429202,2703.506396,2237.759153,1990.77371,2080.657918,2345.98015,2438.570578,2520.444861,2454.864579,1529.62307,0,0,0,"{""type"":""Polygon"",""coordinates"":[[[144.6499664,-38.22765294701072],[144.6499184054018,-38.22765831932392],[144.6498742311537,-38.22767400862968],[144.6498373935122,-38.22769876606533],[144.64981082475038,-38.22773062094706],[144.64979663974995,-38.227767037633726],[144.64979596765406,-38.22780511736162],[144.64980886198228,-38.22784182898464],[144.64983429636388,-38.2278742502534],[144.64987024623133,-38.227899800427664],[144.64991384997316,-38.22791644570546],[144.6499616367187,-38.227922861116284],[144.65000980262352,-38.22791853599072],[144.65005451366133,-38.22790381461062],[144.6500922108191,-38.227879868803626],[144.6501198933987,-38.22784860466393],[144.65013535787403,-38.22781251082468],[144.65013737328928,-38.22777446036038],[144.65012577923807,-38.227737482088685],[144.65010149862522,-38.227704519476234],[144.65006646419783,-38.22767819633993],[144.65002346469535,-38.22766060799331],[144.64997592286636,-38.22765315446208],[144.6499664,-38.22765294701072]]]}"
